comarca,serventia,data_futura,horizonte_meses,taxa_prevista,mes_no_horizonte
ALEXÂNIA,Vara Judicial,2026-01-31,6,98.21,3
ALEXÂNIA,Vara Judicial,2026-02-28,6,98.68,4
ALEXÂNIA,Vara Judicial,2026-03-31,6,99.2,5
ALEXÂNIA,Vara Judicial,2026-04-30,6,99.7,6
ALTO PARAÍSO DE GOIÁS,Vara Judicial,2025-11-30,6,95.86,1
ALTO PARAÍSO DE GOIÁS,Vara Judicial,2025-12-31,6,95.94,2
ALTO PARAÍSO DE GOIÁS,Vara Judicial,2026-01-31,6,96.03,3
ALTO PARAÍSO DE GOIÁS,Vara Judicial,2026-02-28,6,96.1,4
ALTO PARAÍSO DE GOIÁS,Vara Judicial,2026-03-31,6,96.19,5
ALTO PARAÍSO DE GOIÁS,Vara Judicial,2026-04-30,6,96.27,6
ALVORADA DO NORTE,Vara Judicial,2025-11-30,6,96.02,1
ALVORADA DO NORTE,Vara Judicial,2025-12-31,6,96.26,2
ALVORADA DO NORTE,Vara Judicial,2026-01-31,6,96.5,3
ALVORADA DO NORTE,Vara Judicial,2026-02-28,6,96.72,4
ALVORADA DO NORTE,Vara Judicial,2026-03-31,6,96.96,5
ALVORADA DO NORTE,Vara Judicial,2026-04-30,6,97.2,6
ANICUNS,"1ª Vara Judicial (Família e Sucessões, Infância e Juventude, Cível e Juizado Especial Cível)",2025-11-30,6,100.0,1
ANICUNS,"1ª Vara Judicial (Família e Sucessões, Infância e Juventude, Cível e Juizado Especial Cível)",2025-12-31,6,100.0,2
ANICUNS,"1ª Vara Judicial (Família e Sucessões, Infância e Juventude, Cível e Juizado Especial Cível)",2026-01-31,6,100.0,3
ANICUNS,"1ª Vara Judicial (Família e Sucessões, Infância e Juventude, Cível e Juizado Especial Cível)",2026-02-28,6,100.0,4
ANICUNS,"1ª Vara Judicial (Família e Sucessões, Infância e Juventude, Cível e Juizado Especial Cível)",2026-03-31,6,100.0,5
ANICUNS,"1ª Vara Judicial (Família e Sucessões, Infância e Juventude, Cível e Juizado Especial Cível)",2026-04-30,6,100.0,6
ANICUNS,"2ª Vara Judicial (Fazendas Públicas, Criminal, Execução Penal e Juizado Criminal)",2025-11-30,6,91.31,1
ANICUNS,"2ª Vara Judicial (Fazendas Públicas, Criminal, Execução Penal e Juizado Criminal)",2025-12-31,6,91.85,2
ANICUNS,"2ª Vara Judicial (Fazendas Públicas, Criminal, Execução Penal e Juizado Criminal)",2026-01-31,6,92.39,3
ANICUNS,"2ª Vara Judicial (Fazendas Públicas, Criminal, Execução Penal e Juizado Criminal)",2026-02-28,6,92.87,4
ANICUNS,"2ª Vara Judicial (Fazendas Públicas, Criminal, Execução Penal e Juizado Criminal)",2026-03-31,6,93.41,5
ANICUNS,"2ª Vara Judicial (Fazendas Públicas, Criminal, Execução Penal e Juizado Criminal)",2026-04-30,6,93.93,6
ANÁPOLIS,1ª Vara Criminal,2025-11-30,6,100.0,1
ANÁPOLIS,1ª Vara Criminal,2025-12-31,6,100.0,2
ANÁPOLIS,1ª Vara Criminal,2026-01-31,6,100.0,3
ANÁPOLIS,1ª Vara Criminal,2026-02-28,6,100.0,4
ANÁPOLIS,1ª Vara Criminal,2026-03-31,6,100.0,5
ANÁPOLIS,1ª Vara Criminal,2026-04-30,6,100.0,6
ANÁPOLIS,1ª Vara Cível,2025-11-30,6,95.38,1
ANÁPOLIS,1ª Vara Cível,2025-12-31,6,95.45,2
ANÁPOLIS,1ª Vara Cível,2026-01-31,6,95.52,3
ANÁPOLIS,1ª Vara Cível,2026-02-28,6,95.58,4
ANÁPOLIS,1ª Vara Cível,2026-03-31,6,95.65,5
ANÁPOLIS,1ª Vara Cível,2026-04-30,6,95.72,6
ANÁPOLIS,1ª Vara de Família e Sucessões,2025-11-30,6,91.61,1
ANÁPOLIS,1ª Vara de Família e Sucessões,2025-12-31,6,92.33,2
ANÁPOLIS,1ª Vara de Família e Sucessões,2026-01-31,6,93.04,3
ANÁPOLIS,1ª Vara de Família e Sucessões,2026-02-28,6,93.69,4
ANÁPOLIS,1ª Vara de Família e Sucessões,2026-03-31,6,94.4,5
ANÁPOLIS,1ª Vara de Família e Sucessões,2026-04-30,6,95.09,6
ANÁPOLIS,1º Juizado Especial Criminal,2025-11-30,6,97.05,1
ANÁPOLIS,1º Juizado Especial Criminal,2025-12-31,6,97.66,2
ANÁPOLIS,1º Juizado Especial Criminal,2026-01-31,6,98.27,3
ANÁPOLIS,1º Juizado Especial Criminal,2026-02-28,6,98.82,4
ANÁPOLIS,1º Juizado Especial Criminal,2026-03-31,6,99.43,5
ANÁPOLIS,1º Juizado Especial Criminal,2026-04-30,6,100.0,6
ANÁPOLIS,1º Juizado Especial Cível,2025-11-30,6,64.27,1
ANÁPOLIS,1º Juizado Especial Cível,2025-12-31,6,65.45,2
ANÁPOLIS,1º Juizado Especial Cível,2026-01-31,6,66.62,3
ANÁPOLIS,1º Juizado Especial Cível,2026-02-28,6,67.68,4
ANÁPOLIS,1º Juizado Especial Cível,2026-03-31,6,68.86,5
ANÁPOLIS,1º Juizado Especial Cível,2026-04-30,6,69.99,6
ANÁPOLIS,2ª Vara Criminal,2025-11-30,6,96.72,1
ANÁPOLIS,2ª Vara Criminal,2025-12-31,6,97.2,2
ANÁPOLIS,2ª Vara Criminal,2026-01-31,6,97.68,3
ANÁPOLIS,2ª Vara Criminal,2026-02-28,6,98.11,4
ANÁPOLIS,2ª Vara Criminal,2026-03-31,6,98.59,5
ANÁPOLIS,2ª Vara Criminal,2026-04-30,6,99.05,6
ANÁPOLIS,2ª Vara Cível,2025-11-30,6,94.28,1
ANÁPOLIS,2ª Vara Cível,2025-12-31,6,94.25,2
ANÁPOLIS,2ª Vara Cível,2026-01-31,6,94.23,3
ANÁPOLIS,2ª Vara Cível,2026-02-28,6,94.21,4
ANÁPOLIS,2ª Vara Cível,2026-03-31,6,94.19,5
ANÁPOLIS,2ª Vara Cível,2026-04-30,6,94.17,6
ANÁPOLIS,2ª Vara de Família e Sucessões,2025-11-30,6,98.38,1
ANÁPOLIS,2ª Vara de Família e Sucessões,2025-12-31,6,99.6,2
ANÁPOLIS,2ª Vara de Família e Sucessões,2026-01-31,6,100.0,3
ANÁPOLIS,2ª Vara de Família e Sucessões,2026-02-28,6,100.0,4
ANÁPOLIS,2ª Vara de Família e Sucessões,2026-03-31,6,100.0,5
ANÁPOLIS,2ª Vara de Família e Sucessões,2026-04-30,6,100.0,6
ANÁPOLIS,2º Juizado Especial Cível,2025-11-30,6,73.98,1
ANÁPOLIS,2º Juizado Especial Cível,2025-12-31,6,74.95,2
ANÁPOLIS,2º Juizado Especial Cível,2026-01-31,6,75.91,3
ANÁPOLIS,2º Juizado Especial Cível,2026-02-28,6,76.78,4
ANÁPOLIS,2º Juizado Especial Cível,2026-03-31,6,77.75,5
ANÁPOLIS,2º Juizado Especial Cível,2026-04-30,6,78.68,6
ANÁPOLIS,3ª Vara Criminal,2025-11-30,6,100.0,1
ANÁPOLIS,3ª Vara Criminal,2025-12-31,6,100.0,2
ANÁPOLIS,3ª Vara Criminal,2026-01-31,6,100.0,3
ANÁPOLIS,3ª Vara Criminal,2026-02-28,6,100.0,4
ANÁPOLIS,3ª Vara Criminal,2026-03-31,6,100.0,5
ANÁPOLIS,3ª Vara Criminal,2026-04-30,6,100.0,6
ANÁPOLIS,3ª Vara Cível,2025-11-30,6,91.81,1
ANÁPOLIS,3ª Vara Cível,2025-12-31,6,91.68,2
ANÁPOLIS,3ª Vara Cível,2026-01-31,6,91.55,3
ANÁPOLIS,3ª Vara Cível,2026-02-28,6,91.43,4
ANÁPOLIS,3ª Vara Cível,2026-03-31,6,91.3,5
ANÁPOLIS,3ª Vara Cível,2026-04-30,6,91.17,6
ANÁPOLIS,3ª Vara de Família e Sucessões,2025-11-30,6,95.02,1
ANÁPOLIS,3ª Vara de Família e Sucessões,2025-12-31,6,95.39,2
ANÁPOLIS,3ª Vara de Família e Sucessões,2026-01-31,6,95.75,3
ANÁPOLIS,3ª Vara de Família e Sucessões,2026-02-28,6,96.09,4
ANÁPOLIS,3ª Vara de Família e Sucessões,2026-03-31,6,96.45,5
ANÁPOLIS,3ª Vara de Família e Sucessões,2026-04-30,6,96.81,6
ANÁPOLIS,3º Juizado Especial Cível,2025-11-30,6,50.79,1
ANÁPOLIS,3º Juizado Especial Cível,2025-12-31,6,51.82,2
ANÁPOLIS,3º Juizado Especial Cível,2026-01-31,6,52.86,3
ANÁPOLIS,3º Juizado Especial Cível,2026-02-28,6,53.79,4
ANÁPOLIS,3º Juizado Especial Cível,2026-03-31,6,54.82,5
ANÁPOLIS,3º Juizado Especial Cível,2026-04-30,6,55.82,6
ANÁPOLIS,4ª Vara Criminal (Presidência do Tribunal do Juri e execuções penais),2025-11-30,6,3.22,1
ANÁPOLIS,4ª Vara Criminal (Presidência do Tribunal do Juri e execuções penais),2025-12-31,6,3.09,2
ANÁPOLIS,4ª Vara Criminal (Presidência do Tribunal do Juri e execuções penais),2026-01-31,6,2.96,3
ANÁPOLIS,4ª Vara Criminal (Presidência do Tribunal do Juri e execuções penais),2026-02-28,6,2.85,4
ANÁPOLIS,4ª Vara Criminal (Presidência do Tribunal do Juri e execuções penais),2026-03-31,6,2.72,5
ANÁPOLIS,4ª Vara Criminal (Presidência do Tribunal do Juri e execuções penais),2026-04-30,6,2.59,6
ANÁPOLIS,4ª Vara Cível,2025-11-30,6,95.45,1
ANÁPOLIS,4ª Vara Cível,2025-12-31,6,95.47,2
ANÁPOLIS,4ª Vara Cível,2026-01-31,6,95.5,3
ANÁPOLIS,4ª Vara Cível,2026-02-28,6,95.52,4
ANÁPOLIS,4ª Vara Cível,2026-03-31,6,95.54,5
ANÁPOLIS,4ª Vara Cível,2026-04-30,6,95.57,6
ANÁPOLIS,4º Juizado Especial Cível,2025-11-30,6,77.78,1
ANÁPOLIS,4º Juizado Especial Cível,2025-12-31,6,79.3,2
ANÁPOLIS,4º Juizado Especial Cível,2026-01-31,6,80.81,3
ANÁPOLIS,4º Juizado Especial Cível,2026-02-28,6,82.18,4
ANÁPOLIS,4º Juizado Especial Cível,2026-03-31,6,83.7,5
ANÁPOLIS,4º Juizado Especial Cível,2026-04-30,6,85.17,6
ANÁPOLIS,5ª Vara Criminal,2025-11-30,6,100.0,1
ANÁPOLIS,5ª Vara Criminal,2025-12-31,6,100.0,2
ANÁPOLIS,5ª Vara Criminal,2026-01-31,6,100.0,3
ANÁPOLIS,5ª Vara Criminal,2026-02-28,6,100.0,4
ANÁPOLIS,5ª Vara Criminal,2026-03-31,6,100.0,5
ANÁPOLIS,5ª Vara Criminal,2026-04-30,6,100.0,6
ANÁPOLIS,5ª Vara Cível,2025-11-30,6,95.97,1
ANÁPOLIS,5ª Vara Cível,2025-12-31,6,96.1,2
ANÁPOLIS,5ª Vara Cível,2026-01-31,6,96.23,3
ANÁPOLIS,5ª Vara Cível,2026-02-28,6,96.35,4
ANÁPOLIS,5ª Vara Cível,2026-03-31,6,96.48,5
ANÁPOLIS,5ª Vara Cível,2026-04-30,6,96.61,6
ANÁPOLIS,6ª Vara Cível,2025-11-30,6,93.29,1
ANÁPOLIS,6ª Vara Cível,2025-12-31,6,93.36,2
ANÁPOLIS,6ª Vara Cível,2026-01-31,6,93.43,3
ANÁPOLIS,6ª Vara Cível,2026-02-28,6,93.5,4
ANÁPOLIS,6ª Vara Cível,2026-03-31,6,93.57,5
ANÁPOLIS,6ª Vara Cível,2026-04-30,6,93.63,6
ANÁPOLIS,Juizado da Infância e da Juventude,2025-11-30,6,89.61,1
ANÁPOLIS,Juizado da Infância e da Juventude,2025-12-31,6,91.47,2
ANÁPOLIS,Juizado da Infância e da Juventude,2026-01-31,6,93.34,3
ANÁPOLIS,Juizado da Infância e da Juventude,2026-02-28,6,95.02,4
ANÁPOLIS,Juizado da Infância e da Juventude,2026-03-31,6,96.89,5
ANÁPOLIS,Juizado da Infância e da Juventude,2026-04-30,6,98.69,6
ANÁPOLIS,Juizado de Violência Doméstica e Familiar Contra a Mulher,2025-11-30,6,96.4,1
ANÁPOLIS,Juizado de Violência Doméstica e Familiar Contra a Mulher,2025-12-31,6,96.93,2
ANÁPOLIS,Juizado de Violência Doméstica e Familiar Contra a Mulher,2026-01-31,6,97.45,3
ANÁPOLIS,Juizado de Violência Doméstica e Familiar Contra a Mulher,2026-02-28,6,97.93,4
ANÁPOLIS,Juizado de Violência Doméstica e Familiar Contra a Mulher,2026-03-31,6,98.45,5
ANÁPOLIS,Juizado de Violência Doméstica e Familiar Contra a Mulher,2026-04-30,6,98.96,6
ANÁPOLIS,"Vara da Faz. Púb. Mun.,de Reg. Púb., e Amb.",2025-11-30,6,94.91,1
ANÁPOLIS,"Vara da Faz. Púb. Mun.,de Reg. Púb., e Amb.",2025-12-31,6,94.93,2
ANÁPOLIS,"Vara da Faz. Púb. Mun.,de Reg. Púb., e Amb.",2026-01-31,6,94.95,3
ANÁPOLIS,"Vara da Faz. Púb. Mun.,de Reg. Púb., e Amb.",2026-02-28,6,94.96,4
ANÁPOLIS,"Vara da Faz. Púb. Mun.,de Reg. Púb., e Amb.",2026-03-31,6,94.98,5
ANÁPOLIS,"Vara da Faz. Púb. Mun.,de Reg. Púb., e Amb.",2026-04-30,6,95.0,6
ANÁPOLIS,Vara da Fazenda Pública Estadual ,2025-11-30,6,87.74,1
ANÁPOLIS,Vara da Fazenda Pública Estadual ,2025-12-31,6,87.46,2
ANÁPOLIS,Vara da Fazenda Pública Estadual ,2026-01-31,6,87.19,3
ANÁPOLIS,Vara da Fazenda Pública Estadual ,2026-02-28,6,86.95,4
ANÁPOLIS,Vara da Fazenda Pública Estadual ,2026-03-31,6,86.68,5
ANÁPOLIS,Vara da Fazenda Pública Estadual ,2026-04-30,6,86.42,6
APARECIDA DE GOIÂNIA,1ª Vara Criminal,2025-11-30,6,100.0,1
APARECIDA DE GOIÂNIA,1ª Vara Criminal,2025-12-31,6,100.0,2
APARECIDA DE GOIÂNIA,1ª Vara Criminal,2026-01-31,6,100.0,3
APARECIDA DE GOIÂNIA,1ª Vara Criminal,2026-02-28,6,100.0,4
APARECIDA DE GOIÂNIA,1ª Vara Criminal,2026-03-31,6,100.0,5
APARECIDA DE GOIÂNIA,1ª Vara Criminal,2026-04-30,6,100.0,6
APARECIDA DE GOIÂNIA,"1ª Vara Criminal dos Crimes Dolosos contra a Vida, Tribunal do Júri e Execuções Penais (privativas de liberdade em regime aberto)",2025-11-30,6,77.25,1
APARECIDA DE GOIÂNIA,"1ª Vara Criminal dos Crimes Dolosos contra a Vida, Tribunal do Júri e Execuções Penais (privativas de liberdade em regime aberto)",2025-12-31,6,78.43,2
APARECIDA DE GOIÂNIA,"1ª Vara Criminal dos Crimes Dolosos contra a Vida, Tribunal do Júri e Execuções Penais (privativas de liberdade em regime aberto)",2026-01-31,6,79.6,3
APARECIDA DE GOIÂNIA,"1ª Vara Criminal dos Crimes Dolosos contra a Vida, Tribunal do Júri e Execuções Penais (privativas de liberdade em regime aberto)",2026-02-28,6,80.66,4
APARECIDA DE GOIÂNIA,"1ª Vara Criminal dos Crimes Dolosos contra a Vida, Tribunal do Júri e Execuções Penais (privativas de liberdade em regime aberto)",2026-03-31,6,81.83,5
APARECIDA DE GOIÂNIA,"1ª Vara Criminal dos Crimes Dolosos contra a Vida, Tribunal do Júri e Execuções Penais (privativas de liberdade em regime aberto)",2026-04-30,6,82.97,6
APARECIDA DE GOIÂNIA,1ª Vara Cível,2025-11-30,6,95.35,1
APARECIDA DE GOIÂNIA,1ª Vara Cível,2025-12-31,6,95.32,2
APARECIDA DE GOIÂNIA,1ª Vara Cível,2026-01-31,6,95.29,3
APARECIDA DE GOIÂNIA,1ª Vara Cível,2026-02-28,6,95.26,4
APARECIDA DE GOIÂNIA,1ª Vara Cível,2026-03-31,6,95.23,5
APARECIDA DE GOIÂNIA,1ª Vara Cível,2026-04-30,6,95.2,6
APARECIDA DE GOIÂNIA,1ª Vara de Família e Sucessões,2025-11-30,6,97.22,1
APARECIDA DE GOIÂNIA,1ª Vara de Família e Sucessões,2025-12-31,6,98.18,2
APARECIDA DE GOIÂNIA,1ª Vara de Família e Sucessões,2026-01-31,6,99.13,3
APARECIDA DE GOIÂNIA,1ª Vara de Família e Sucessões,2026-02-28,6,100.0,4
APARECIDA DE GOIÂNIA,1ª Vara de Família e Sucessões,2026-03-31,6,100.0,5
APARECIDA DE GOIÂNIA,1ª Vara de Família e Sucessões,2026-04-30,6,100.0,6
APARECIDA DE GOIÂNIA,1° Juizado de Violência Doméstica e Familiar contra a Mulher,2025-11-30,6,85.12,1
APARECIDA DE GOIÂNIA,1° Juizado de Violência Doméstica e Familiar contra a Mulher,2025-12-31,6,85.56,2
APARECIDA DE GOIÂNIA,1° Juizado de Violência Doméstica e Familiar contra a Mulher,2026-01-31,6,86.01,3
APARECIDA DE GOIÂNIA,1° Juizado de Violência Doméstica e Familiar contra a Mulher,2026-02-28,6,86.42,4
APARECIDA DE GOIÂNIA,1° Juizado de Violência Doméstica e Familiar contra a Mulher,2026-03-31,6,86.86,5
APARECIDA DE GOIÂNIA,1° Juizado de Violência Doméstica e Familiar contra a Mulher,2026-04-30,6,87.3,6
APARECIDA DE GOIÂNIA,1º Juizado Especial Criminal,2025-11-30,6,100.0,1
APARECIDA DE GOIÂNIA,1º Juizado Especial Criminal,2025-12-31,6,100.0,2
APARECIDA DE GOIÂNIA,1º Juizado Especial Criminal,2026-01-31,6,100.0,3
APARECIDA DE GOIÂNIA,1º Juizado Especial Criminal,2026-02-28,6,100.0,4
APARECIDA DE GOIÂNIA,1º Juizado Especial Criminal,2026-03-31,6,100.0,5
APARECIDA DE GOIÂNIA,1º Juizado Especial Criminal,2026-04-30,6,100.0,6
APARECIDA DE GOIÂNIA,1º Juizado Especial Cível,2025-11-30,6,78.27,1
APARECIDA DE GOIÂNIA,1º Juizado Especial Cível,2025-12-31,6,79.94,2
APARECIDA DE GOIÂNIA,1º Juizado Especial Cível,2026-01-31,6,81.61,3
APARECIDA DE GOIÂNIA,1º Juizado Especial Cível,2026-02-28,6,83.12,4
APARECIDA DE GOIÂNIA,1º Juizado Especial Cível,2026-03-31,6,84.79,5
APARECIDA DE GOIÂNIA,1º Juizado Especial Cível,2026-04-30,6,86.41,6
APARECIDA DE GOIÂNIA,2ª Vara Criminal,2025-11-30,6,100.0,1
APARECIDA DE GOIÂNIA,2ª Vara Criminal,2025-12-31,6,100.0,2
APARECIDA DE GOIÂNIA,2ª Vara Criminal,2026-01-31,6,100.0,3
APARECIDA DE GOIÂNIA,2ª Vara Criminal,2026-02-28,6,100.0,4
APARECIDA DE GOIÂNIA,2ª Vara Criminal,2026-03-31,6,100.0,5
APARECIDA DE GOIÂNIA,2ª Vara Criminal,2026-04-30,6,100.0,6
APARECIDA DE GOIÂNIA,"2ª Vara Criminal dos Crimes Dolosos contra a Vida, Tribunal do Júri e Execuções Penais (restritivas de direito, alternativas e de multa)",2025-11-30,6,100.0,1
APARECIDA DE GOIÂNIA,"2ª Vara Criminal dos Crimes Dolosos contra a Vida, Tribunal do Júri e Execuções Penais (restritivas de direito, alternativas e de multa)",2025-12-31,6,100.0,2
APARECIDA DE GOIÂNIA,"2ª Vara Criminal dos Crimes Dolosos contra a Vida, Tribunal do Júri e Execuções Penais (restritivas de direito, alternativas e de multa)",2026-01-31,6,100.0,3
APARECIDA DE GOIÂNIA,"2ª Vara Criminal dos Crimes Dolosos contra a Vida, Tribunal do Júri e Execuções Penais (restritivas de direito, alternativas e de multa)",2026-02-28,6,100.0,4
APARECIDA DE GOIÂNIA,"2ª Vara Criminal dos Crimes Dolosos contra a Vida, Tribunal do Júri e Execuções Penais (restritivas de direito, alternativas e de multa)",2026-03-31,6,100.0,5
APARECIDA DE GOIÂNIA,"2ª Vara Criminal dos Crimes Dolosos contra a Vida, Tribunal do Júri e Execuções Penais (restritivas de direito, alternativas e de multa)",2026-04-30,6,100.0,6
APARECIDA DE GOIÂNIA,2ª Vara Cível,2025-11-30,6,95.46,1
APARECIDA DE GOIÂNIA,2ª Vara Cível,2025-12-31,6,95.46,2
APARECIDA DE GOIÂNIA,2ª Vara Cível,2026-01-31,6,95.47,3
APARECIDA DE GOIÂNIA,2ª Vara Cível,2026-02-28,6,95.48,4
APARECIDA DE GOIÂNIA,2ª Vara Cível,2026-03-31,6,95.48,5
APARECIDA DE GOIÂNIA,2ª Vara Cível,2026-04-30,6,95.49,6
APARECIDA DE GOIÂNIA,2ª Vara de Família e Sucessões,2025-11-30,6,97.7,1
APARECIDA DE GOIÂNIA,2ª Vara de Família e Sucessões,2025-12-31,6,98.59,2
APARECIDA DE GOIÂNIA,2ª Vara de Família e Sucessões,2026-01-31,6,99.48,3
APARECIDA DE GOIÂNIA,2ª Vara de Família e Sucessões,2026-02-28,6,100.0,4
APARECIDA DE GOIÂNIA,2ª Vara de Família e Sucessões,2026-03-31,6,100.0,5
APARECIDA DE GOIÂNIA,2ª Vara de Família e Sucessões,2026-04-30,6,100.0,6
APARECIDA DE GOIÂNIA,2º Juizado Especial Cível,2025-11-30,6,77.78,1
APARECIDA DE GOIÂNIA,2º Juizado Especial Cível,2025-12-31,6,78.35,2
APARECIDA DE GOIÂNIA,2º Juizado Especial Cível,2026-01-31,6,78.92,3
APARECIDA DE GOIÂNIA,2º Juizado Especial Cível,2026-02-28,6,79.43,4
APARECIDA DE GOIÂNIA,2º Juizado Especial Cível,2026-03-31,6,80.0,5
APARECIDA DE GOIÂNIA,2º Juizado Especial Cível,2026-04-30,6,80.55,6
APARECIDA DE GOIÂNIA,2º Juizado de Violência Doméstica e Familiar contra a Mulher,2025-11-30,6,91.46,1
APARECIDA DE GOIÂNIA,2º Juizado de Violência Doméstica e Familiar contra a Mulher,2025-12-31,6,92.49,2
APARECIDA DE GOIÂNIA,2º Juizado de Violência Doméstica e Familiar contra a Mulher,2026-01-31,6,93.53,3
APARECIDA DE GOIÂNIA,2º Juizado de Violência Doméstica e Familiar contra a Mulher,2026-02-28,6,94.46,4
APARECIDA DE GOIÂNIA,2º Juizado de Violência Doméstica e Familiar contra a Mulher,2026-03-31,6,95.49,5
APARECIDA DE GOIÂNIA,2º Juizado de Violência Doméstica e Familiar contra a Mulher,2026-04-30,6,96.48,6
APARECIDA DE GOIÂNIA,3ª Vara Criminal,2025-11-30,6,100.0,1
APARECIDA DE GOIÂNIA,3ª Vara Criminal,2025-12-31,6,100.0,2
APARECIDA DE GOIÂNIA,3ª Vara Criminal,2026-01-31,6,100.0,3
APARECIDA DE GOIÂNIA,3ª Vara Criminal,2026-02-28,6,100.0,4
APARECIDA DE GOIÂNIA,3ª Vara Criminal,2026-03-31,6,100.0,5
APARECIDA DE GOIÂNIA,3ª Vara Criminal,2026-04-30,6,100.0,6
APARECIDA DE GOIÂNIA,3ª Vara Cível,2025-11-30,6,95.13,1
APARECIDA DE GOIÂNIA,3ª Vara Cível,2025-12-31,6,95.08,2
APARECIDA DE GOIÂNIA,3ª Vara Cível,2026-01-31,6,95.04,3
APARECIDA DE GOIÂNIA,3ª Vara Cível,2026-02-28,6,94.99,4
APARECIDA DE GOIÂNIA,3ª Vara Cível,2026-03-31,6,94.95,5
APARECIDA DE GOIÂNIA,3ª Vara Cível,2026-04-30,6,94.9,6
APARECIDA DE GOIÂNIA,3ª Vara de Família e Sucessões,2025-11-30,6,93.58,1
APARECIDA DE GOIÂNIA,3ª Vara de Família e Sucessões,2025-12-31,6,94.19,2
APARECIDA DE GOIÂNIA,3ª Vara de Família e Sucessões,2026-01-31,6,94.8,3
APARECIDA DE GOIÂNIA,3ª Vara de Família e Sucessões,2026-02-28,6,95.35,4
APARECIDA DE GOIÂNIA,3ª Vara de Família e Sucessões,2026-03-31,6,95.96,5
APARECIDA DE GOIÂNIA,3ª Vara de Família e Sucessões,2026-04-30,6,96.55,6
APARECIDA DE GOIÂNIA,3º Juizado Especial Cível,2025-11-30,6,83.88,1
APARECIDA DE GOIÂNIA,3º Juizado Especial Cível,2025-12-31,6,84.4,2
APARECIDA DE GOIÂNIA,3º Juizado Especial Cível,2026-01-31,6,84.91,3
APARECIDA DE GOIÂNIA,3º Juizado Especial Cível,2026-02-28,6,85.38,4
APARECIDA DE GOIÂNIA,3º Juizado Especial Cível,2026-03-31,6,85.89,5
APARECIDA DE GOIÂNIA,3º Juizado Especial Cível,2026-04-30,6,86.39,6
APARECIDA DE GOIÂNIA,4ª Vara Criminal,2025-11-30,6,100.0,1
APARECIDA DE GOIÂNIA,4ª Vara Criminal,2025-12-31,6,100.0,2
APARECIDA DE GOIÂNIA,4ª Vara Criminal,2026-01-31,6,100.0,3
APARECIDA DE GOIÂNIA,4ª Vara Criminal,2026-02-28,6,100.0,4
APARECIDA DE GOIÂNIA,4ª Vara Criminal,2026-03-31,6,100.0,5
APARECIDA DE GOIÂNIA,4ª Vara Criminal,2026-04-30,6,100.0,6
APARECIDA DE GOIÂNIA,4ª Vara Cível,2025-11-30,6,96.47,1
APARECIDA DE GOIÂNIA,4ª Vara Cível,2025-12-31,6,96.46,2
APARECIDA DE GOIÂNIA,4ª Vara Cível,2026-01-31,6,96.44,3
APARECIDA DE GOIÂNIA,4ª Vara Cível,2026-02-28,6,96.43,4
APARECIDA DE GOIÂNIA,4ª Vara Cível,2026-03-31,6,96.42,5
APARECIDA DE GOIÂNIA,4ª Vara Cível,2026-04-30,6,96.4,6
APARECIDA DE GOIÂNIA,5ª Vara Cível,2025-11-30,6,95.69,1
